Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Yr
Calvin Murphy*,SG,31,HOU,7,265,14.9,.576,.037,.120,1.7,2.6,2.2,15.4,2.1,0.0,12.3,20.5,,0.5,-0.1,0.4,.077,,-0.1,0.3,0.2,0.1,1980
Calvin Natt,SF,23,POR,3,125,10.3,.458,.042,.208,7.9,14.1,10.9,2.4,0.8,0.5,16.0,21.4,,-0.1,0.0,-0.1,-0.021,,-1.9,-1.9,-3.8,-0.1,1980
Norm Nixon,PG,24,LAL,16,648,14.4,.516,.021,.213,2.2,7.0,4.6,25.7,2.3,0.3,15.8,18.9,,0.9,0.6,1.5,.108,,1.0,-0.3,0.6,0.4,1980
Mark Olberding,SF,23,SAS,3,97,14.1,.586,.000,.174,5.4,19.9,12.3,16.1,1.0,0.6,10.8,12.1,,0.2,0.0,0.2,.090,,-1.9,1.1,-0.9,0.0,1980
Tom Owens,C,30,POR,3,83,15.4,.559,.000,.308,17.3,11.3,14.4,3.6,0.6,1.4,14.5,17.9,,0.2,0.0,0.2,.111,,0.6,-1.1,-0.5,0.0,1980
Billy Paultz,C,31,HOU,7,128,5.1,.348,.000,.175,10.8,18.9,14.9,8.3,0.4,1.4,20.3,17.7,,-0.3,0.0,-0.3,-0.108,,-5.5,-1.4,-7.0,-0.2,1980
Jim Paxson,SG,22,POR,3,44,11.8,.429,.000,.375,0.0,10.7,5.2,9.3,2.3,1.3,9.7,20.1,,0.0,0.0,0.0,.027,,-2.0,1.3,-0.6,0.0,1980
Wiley Peck,SF,22,SAS,2,9,-3.7,.000,.000,.000,0.0,37.8,18.1,0.0,0.0,6.1,0.0,14.1,,-0.1,0.0,-0.1,-0.283,,-13.0,-2.1,-15.1,0.0,1980
Sam Pellom,PF,28,ATL,4,18,-4.2,.116,.000,1.000,0.0,0.0,0.0,7.3,0.0,3.6,0.0,10.3,,-0.1,0.0,-0.1,-0.158,,-7.7,-1.2,-8.8,0.0,1980
Kevin Porter,PG,29,WSB,2,49,9.6,.440,.063,.313,4.3,0.0,2.2,26.2,3.0,0.0,18.0,18.5,,0.0,0.0,0.0,-0.039,,-3.3,0.0,-3.2,0.0,1980
Robert Reid,SF,24,HOU,7,266,16.7,.555,.010,.255,6.1,17.8,11.9,14.8,1.1,1.5,14.3,20.9,,0.5,0.0,0.5,.087,,1.1,0.7,1.8,0.3,1980
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
Kevin Restani,SF,28,SAS,3,74,18.6,.594,.036,.321,11.3,12.3,11.7,6.6,0.0,0.7,5.9,19.4,,0.2,-0.1,0.2,.112,,1.3,-1.7,-0.3,0.0,1980
Clint Richardson,SG,23,PHI,3,3,4.0,.333,.667,.000,0.0,0.0,0.0,0.0,16.1,0.0,25.0,56.3,,0.0,0.0,0.0,-0.515,,-13.2,2.4,-10.9,0.0,1980
Rick Robey,C,24,BOS,9,151,11.9,.465,.019,.264,9.7,14.5,12.1,9.4,2.3,1.2,11.9,18.8,,0.0,0.3,0.3,.103,,-0.6,0.5,-0.2,0.1,1980
Truck Robinson,PF,28,PHO,3,64,8.6,.445,.000,.438,8.6,25.4,17.1,7.6,2.2,1.7,29.5,17.4,,-0.1,0.1,-0.1,-0.039,,-4.4,-0.1,-4.5,0.0,1980
Bill Robinzine,PF,27,KCK,3,69,16.3,.581,.000,.417,10.2,18.4,14.0,0.0,2.2,0.0,17.4,20.6,,0.1,0.1,0.1,.095,,0.0,-0.6,-0.6,0.0,1980
Tree Rollins,C,24,ATL,5,134,16.0,.593,.000,.323,14.1,17.6,15.8,3.6,0.8,6.8,14.5,13.3,,0.2,0.1,0.4,.137,,0.2,1.4,1.7,0.1,1980
Dan Roundfield,PF,26,ATL,5,174,20.0,.509,.014,.507,15.1,22.4,18.5,11.0,1.2,3.0,11.5,23.6,,0.3,0.2,0.5,.134,,3.0,-0.4,2.6,0.2,1980
Alvin Scott,SF,24,PHO,8,140,10.8,.520,.061,.242,6.3,10.8,8.6,9.0,1.4,2.0,16.1,12.8,,0.1,0.1,0.1,.039,,-0.2,-0.1,-0.3,0.1,1980
Lonnie Shelton,PF,24,SEA,15,469,14.2,.534,.007,.349,8.1,21.3,14.6,7.9,2.4,1.4,18.0,18.0,,0.2,0.8,1.0,.102,,0.1,1.1,1.2,0.4,1980
John Shumate,PF,27,SAS,3,78,11.7,.492,.000,.150,9.4,8.7,9.1,8.8,2.5,2.8,19.0,14.3,,0.0,0.0,0.0,.006,,-3.6,1.2,-2.4,0.0,1980
Jack Sikma*,C,24,SEA,15,534,11.9,.471,.012,.331,6.1,20.0,12.9,14.5,1.6,0.5,15.8,17.1,,0.2,0.7,0.9,.084,,-0.2,0.6,0.5,0.3,1980
James Silas,PG,30,SAS,3,90,16.4,.526,.000,.306,1.2,7.6,4.2,15.1,3.3,0.6,10.9,21.5,,0.1,0.0,0.1,.059,,-2.1,1.7,-0.4,0.0,1980
Paul Silas,PF,36,SEA,15,257,8.9,.380,.000,.302,13.9,18.2,16.0,7.5,1.7,0.4,15.6,9.2,,0.1,0.3,0.4,.077,,-0.6,0.1,-0.5,0.1,1980
Jim Spanarkel,SG,22,PHI,5,8,6.4,.347,.000,1.000,0.0,13.2,6.8,15.1,0.0,0.0,0.0,15.2,,0.0,0.0,0.0,.043,,-3.1,-2.2,-5.4,0.0,1980
Rudy Tomjanovich*,PF,31,HOU,7,185,6.4,.416,.109,.203,7.5,17.5,12.5,7.4,0.5,0.0,16.7,19.0,,-0.2,0.0,-0.3,-0.067,,-4.7,-1.8,-6.5,-0.2,1980
Bernard Toone,PF,23,PHI,4,6,-16.2,.000,.250,.000,0.0,17.6,9.1,20.1,0.0,0.0,0.0,28.1,,-0.1,0.0,-0.1,-0.537,,-16.6,-7.8,-24.5,0.0,1980
Dave Twardzik,PG,29,POR,2,20,2.7,.250,.000,.000,5.5,17.6,11.4,12.6,5.1,0.0,42.9,15.0,,-0.1,0.0,-0.1,-0.159,,-8.3,3.1,-5.2,0.0,1980
Wes Unseld*,C,33,WSB,2,87,12.6,.541,.071,.429,8.4,26.6,17.3,10.5,0.0,1.9,15.3,9.2,,0.1,0.0,0.1,.076,,0.0,0.4,0.3,0.1,1980
Wally Walker,SF,25,SEA,13,157,12.9,.593,.000,.686,10.3,9.9,10.1,6.2,0.3,1.1,9.9,13.2,,0.4,0.1,0.5,.153,,1.6,-0.8,0.8,0.1,1980
Lloyd Walton,PG,26,MIL,1,4,-0.1,.000,.000,.000,0.0,27.6,14.1,30.5,0.0,14.3,50.0,20.9,,0.0,0.0,0.0,-0.378,,-2.8,1.3,-1.5,0.0,1980
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
Kermit Washington,PF,28,POR,3,121,13.6,.525,.038,.308,10.9,18.4,14.6,6.7,0.4,1.9,11.9,11.9,,0.2,0.1,0.2,.099,,1.1,0.0,1.1,0.1,1980
Richard Washington,PF,24,MIL,7,112,13.2,.523,.000,.085,7.2,12.8,10.0,4.5,1.8,4.1,14.1,21.2,,0.0,0.2,0.2,.073,,-1.5,0.8,-0.7,0.0,1980
Scott Wedman,SF,27,KCK,3,116,19.4,.494,.047,.172,5.2,14.9,9.7,12.6,0.4,1.5,2.8,25.2,,0.3,0.1,0.4,.147,,4.0,-0.2,3.8,0.2,1980
Paul Westphal*,SG,29,PHO,8,253,18.8,.535,.085,.225,0.9,3.4,2.2,19.0,2.1,0.6,7.7,27.5,,0.5,0.0,0.6,.106,,2.3,-0.8,1.5,0.2,1980
Jamaal Wilkes*,SF,26,LAL,16,652,15.8,.510,.003,.184,8.9,12.2,10.5,10.3,1.7,0.4,9.9,21.3,,1.1,0.6,1.7,.127,,2.1,-1.2,1.0,0.5,1980
Gus Williams,PG,26,SEA,15,564,21.7,.552,.018,.303,5.7,5.9,5.8,25.9,3.0,0.7,12.7,26.9,,1.4,0.6,2.0,.173,,5.9,1.0,6.9,1.3,1980
