Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
David Thompson*,SG,22,DEN,6,,39.5,9.3,20.2,.463,,,,9.3,20.2,.463,.463,6.0,8.8,.679,2.2,3.0,5.2,4.0,1.5,0.7,,3.7,24.7,1977
Nate Thurmond*,C,35,CLE,1,,1.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,1977
Rudy Tomjanovich*,PF,28,HOU,12,,38.1,8.9,17.7,.505,,,,8.9,17.7,.505,.505,2.4,3.1,.784,2.0,3.4,5.4,2.0,0.6,0.3,,3.0,20.3,1977
Monte Towe,PG,23,DEN,1,,6.0,2.0,3.0,.667,,,,2.0,3.0,.667,.667,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,4.0,1977
Dave Twardzik,PG,26,POR,14,,25.3,3.9,6.6,.591,,,,3.9,6.6,.591,.591,3.1,4.2,.729,0.3,1.4,1.7,2.8,1.1,0.1,,3.4,10.9,1977
Wes Unseld*,C,30,WSB,9,,40.9,3.3,6.0,.556,,,,3.3,6.0,.556,.556,0.8,1.3,.583,2.7,9.0,11.7,4.9,0.9,0.7,,3.6,7.4,1977
Norm Van Lier,PG,29,CHI,3,,44.7,1.0,6.3,.158,,,,1.0,6.3,.158,.158,3.3,4.0,.833,1.7,3.3,5.0,9.7,3.3,0.3,,4.7,5.3,1977
Foots Walker,PG,25,CLE,3,,31.7,6.0,12.3,.486,,,,6.0,12.3,.486,.486,3.7,5.0,.733,1.3,2.7,4.0,6.7,1.3,0.3,,4.0,15.7,1977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977
Wally Walker,SF,22,POR,10,,8.3,2.0,3.6,.556,,,,2.0,3.6,.556,.556,0.3,0.7,.429,0.2,0.5,0.7,0.8,0.3,0.0,,2.0,4.3,1977
Bill Walton*,C,24,POR,19,,39.7,8.1,15.9,.507,,,,8.1,15.9,.507,.507,2.1,3.0,.684,2.9,12.2,15.2,5.5,1.1,3.4,,4.2,18.2,1977
Henry Ward,SG,25,SAS,1,,1.0,2.0,3.0,.667,,,,2.0,3.0,.667,.667,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,1977
Cornell Warner,PF,28,LAL,5,,11.2,1.4,2.4,.583,,,,1.4,2.4,.583,.583,0.0,0.0,,0.4,1.4,1.8,1.2,0.2,0.0,,2.2,2.8,1977
Marvin Webster,C,24,DEN,6,,16.0,2.2,4.3,.500,,,,2.2,4.3,.500,.500,0.7,1.0,.667,2.3,4.3,6.7,0.5,0.3,1.8,,2.0,5.0,1977
Bob Weiss,PG,34,WSB,4,,8.5,0.8,1.3,.600,,,,0.8,1.3,.600,.600,0.0,0.3,.000,0.3,0.5,0.8,0.5,0.3,0.0,,1.3,1.5,1977
Jo Jo White*,PG,30,BOS,9,,43.9,10.1,22.3,.453,,,,10.1,22.3,.453,.453,3.1,3.7,.848,1.1,3.2,4.3,5.8,1.6,0.0,,3.0,23.3,1977
Rudy White,SG,23,HOU,1,,2.0,1.0,3.0,.333,,,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,2.0,1977
Sidney Wicks,PF,27,BOS,9,,29.0,4.7,9.0,.519,,,,4.7,9.0,.519,.519,3.8,5.2,.723,2.9,6.3,9.2,1.8,1.4,0.3,,4.1,13.1,1977
Jamaal Wilkes*,PF,23,GSW,10,,34.6,6.6,15.4,.429,,,,6.6,15.4,.429,.429,2.3,2.8,.821,1.8,6.2,8.0,1.6,1.6,0.6,,2.3,15.5,1977
Gus Williams,PG,23,GSW,10,,18.4,3.5,7.0,.500,,,,3.5,7.0,.500,.500,1.8,2.1,.857,0.9,0.6,1.5,2.5,0.8,0.1,,3.0,8.8,1977
Willie Wise,SF,29,DEN,6,,17.7,2.3,6.8,.341,,,,2.3,6.8,.341,.341,2.8,4.2,.680,1.0,3.7,4.7,0.5,0.0,0.2,,2.7,7.5,1977
Larry Wright,PG,22,WSB,8,,13.0,2.4,4.9,.487,,,,2.4,4.9,.487,.487,1.9,2.6,.714,0.1,0.8,0.9,2.0,0.9,0.1,,2.3,6.6,1977
Kareem Abdul-Jabbar*,C,30,LAL,3,,44.7,12.7,24.3,.521,,,,12.7,24.3,.521,.521,1.7,3.0,.556,4.7,9.0,13.7,3.7,0.7,4.0,4.7,4.7,27.0,1978
Tom Abernethy,SF,23,LAL,2,,6.0,0.5,2.0,.250,,,,0.5,2.0,.250,.250,1.0,1.0,1.000,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,2.0,1978
Alvan Adams,C,23,PHO,2,,35.5,7.5,16.5,.455,,,,7.5,16.5,.455,.455,1.0,1.0,1.000,4.0,4.0,8.0,2.0,1.0,0.5,4.5,4.0,16.0,1978
Dennis Awtrey,C,29,PHO,2,,12.0,0.5,2.0,.250,,,,0.5,2.0,.250,.250,0.5,0.5,1.000,1.0,0.0,1.0,1.5,0.5,0.0,0.5,0.0,1.5,1978
Greg Ballard,SF,23,WSB,19,,12.8,1.1,3.3,.333,,,,1.1,3.3,.333,.333,1.7,2.2,.780,1.4,2.7,4.2,0.9,0.5,0.2,0.7,1.5,3.9,1978
Butch Beard,PG,30,NYK,6,,26.7,4.0,8.0,.500,,,,4.0,8.0,.500,.500,1.0,1.7,.600,1.2,2.3,3.5,4.5,1.7,0.3,1.8,3.7,9.0,1978
Kent Benson,C,23,MIL,9,,11.4,1.2,2.6,.478,,,,1.2,2.6,.478,.478,0.7,1.2,.545,0.6,1.1,1.7,0.3,0.6,0.3,0.7,2.2,3.1,1978
Henry Bibby,PG,28,PHI,10,,28.9,3.3,8.2,.402,,,,3.3,8.2,.402,.402,2.0,2.2,.909,0.9,2.1,3.0,4.8,1.2,0.0,2.2,2.5,8.6,1978
Mike Bratz,PG,22,PHO,2,,4.5,0.5,2.5,.200,,,,0.5,2.5,.200,.200,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1978
Jim Brewer,PF,26,CLE,1,,9.0,0.0,1.0,.000,,,,0.0,1.0,.000,.000,0.0,2.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1978
Junior Bridgeman,SF,24,MIL,9,,19.8,4.9,10.1,.484,,,,4.9,10.1,.484,.484,0.7,0.9,.750,0.7,1.3,2.0,1.2,1.0,0.2,0.9,3.4,10.4,1978
Allan Bristow,SF,26,SAS,5,,10.2,1.8,3.0,.600,,,,1.8,3.0,.600,.600,0.8,1.2,.667,0.8,1.4,2.2,1.4,0.4,0.0,1.0,2.0,4.4,1978
Fred Brown,SG,29,SEA,22,,26.1,7.0,15.5,.449,,,,7.0,15.5,.449,.449,3.4,4.1,.833,0.7,1.4,2.1,2.4,1.0,0.1,1.4,2.1,17.3,1978
John Brown,SF,26,ATL,2,,3.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1978
Joe Bryant,PF,23,PHI,10,,12.2,2.1,4.7,.447,,,,2.1,4.7,.447,.447,0.8,1.1,.727,0.7,1.8,2.5,0.9,0.6,0.1,0.5,2.2,5.0,1978
Quinn Buckner,PG,23,MIL,9,,28.6,4.8,9.6,.500,,,,4.8,9.6,.500,.500,1.7,2.6,.652,0.3,2.7,3.0,6.9,2.0,0.1,4.3,3.3,11.2,1978
Don Buse,PG,27,PHO,2,,38.0,2.0,5.5,.364,,,,2.0,5.5,.364,.364,0.0,0.0,,0.0,2.5,2.5,2.0,2.0,0.0,0.5,1.5,4.0,1978
Corky Calhoun,SF,27,POR,6,,18.2,2.5,4.8,.517,,,,2.5,4.8,.517,.517,0.7,1.2,.571,1.0,1.3,2.3,0.5,0.3,0.2,0.5,1.0,5.7,1978
Mack Calvin,PG,30,DEN,12,,11.3,1.6,3.5,.452,,,,1.6,3.5,.452,.452,2.3,2.4,.931,0.3,0.4,0.7,1.8,0.6,0.0,0.9,0.9,5.4,1978
